aux_cue,count,entropy_bits,mi_contribution_bits,most_associated_class,p_ditransitive_transfer_given_cue,p_intransitive_given_cue,p_mental_communication_given_cue,p_perception_given_cue,p_transitive_action_given_cue,reliability
am,639,2.012299787657475,0.00013042977971694972,intransitive,0.0475448168355417,0.4201091192517537,0.26110678098207324,0.10522213561964147,0.16601714731098988,0.4201091192517537
may,425,2.1291131232672806,9.145035876804384e-06,mental_communication,0.05497076023391813,0.28888888888888886,0.3286549707602339,0.15321637426900586,0.1742690058479532,0.3286549707602339
need,17,2.0077486099205633,5.548430909819691e-06,mental_communication,0.1282051282051282,0.3333333333333333,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.38461538461538464
ew,11,1.4133912888392068,4.1182543819562346e-05,perception,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.7037037037037037,0.1111111111111111,0.7037037037037037
c,9,2.246147155726413,9.124284360129e-06,transitive_action,0.21739130434782608,0.13043478260869565,0.21739130434782608,0.13043478260869565,0.30434782608695654,0.30434782608695654
ought,7,1.9915714395869089,5.663017666331594e-06,mental_communication,0.05263157894736842,0.2631578947368421,0.3684210526315789,0.05263157894736842,0.2631578947368421,0.3684210526315789
⌈should,5,1.6879430945989,1.00737699483843e-05,mental_communication,0.06666666666666667,0.06666666666666667,0.6,0.2,0.06666666666666667,0.6
sha,4,2.075869296697727,1.3732435025861473e-05,ditransitive_transfer,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.38461538461538464
mighta,4,2.0758692966977272,4.961909947632792e-06,mental_communication,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.38461538461538464
⌈would,3,2.1626441180472606,2.8176118001154747e-06,intransitive,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.2727272727272727
uld,3,1.971747257128181,6.031957653302548e-06,mental_communication,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.45454545454545453
oughta,3,1.6729330318733675,8.939846573625975e-06,mental_communication,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.6363636363636364
tummyache,2,2.113283334294875,1.0473183699945988e-05,ditransitive_transfer,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333
thi,2,2.113283334294875,5.702045426633376e-06,intransitive,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333
making⌉.,2,1.8799649487271108,5.95989771575065e-06,mental_communication,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.5555555555555556
⌈could,1,2.1280852788913944,2.979948857875325e-06,mental_communication,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855
wee,1,2.1280852788913944,2.979948857875325e-06,mental_communication,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855
⌊see⌋,1,2.1280852788913944,2.979948857875325e-06,mental_communication,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855
∆would,1,2.1280852788913944,2.979948857875325e-06,mental_communication,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855
workin,1,2.1280852788913944,2.979948857875325e-06,mental_communication,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855
havin',1,2.1280852788913944,2.979948857875325e-06,mental_communication,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855
